table_name,ordinal_position,column_name,data_type,is_nullable
agg_reportes_semanal,1,report_week_start,DATE,YES
agg_reportes_semanal,2,report_year,INT64,YES
agg_reportes_semanal,3,report_iso_week,INT64,YES
agg_reportes_semanal,4,provincia_id,INT64,YES
agg_reportes_semanal,5,provincia_name,STRING,YES
agg_reportes_semanal,6,region_id,INT64,YES
agg_reportes_semanal,7,region_name,STRING,YES
agg_reportes_semanal,8,report_type_id,INT64,YES
agg_reportes_semanal,9,report_type_name,STRING,YES
agg_reportes_semanal,10,report_type_category,STRING,YES
agg_reportes_semanal,11,reportes_semana,INT64,YES
agg_reportes_semanal,12,reportes_con_media,INT64,YES
agg_reportes_semanal,13,reportes_con_coordenadas_validas,INT64,YES
agg_reportes_semanal,14,instituciones_distintas,INT64,YES
agg_reportes_semanal,15,dependencias_distintas,INT64,YES
agg_reportes_semanal,16,descripcion_longitud_media,FLOAT64,YES
agg_reportes_semanal,17,reportes_completados,INT64,YES
data_quality_summary,1,metric,STRING,YES
data_quality_summary,2,value,STRING,YES
dataset_maestro_modelado,1,report_week_start,DATE,YES
dataset_maestro_modelado,2,report_year,INT64,YES
dataset_maestro_modelado,3,report_iso_week,INT64,YES
dataset_maestro_modelado,4,provincia_id,INT64,YES
dataset_maestro_modelado,5,provincia_name,STRING,YES
dataset_maestro_modelado,6,region_id,INT64,YES
dataset_maestro_modelado,7,region_name,STRING,YES
dataset_maestro_modelado,8,report_type_id,INT64,YES
dataset_maestro_modelado,9,report_type_name,STRING,YES
dataset_maestro_modelado,10,report_type_category,STRING,YES
dataset_maestro_modelado,11,reportes_semana,INT64,YES
dataset_maestro_modelado,12,reportes_con_media,INT64,YES
dataset_maestro_modelado,13,reportes_con_coordenadas_validas,INT64,YES
dataset_maestro_modelado,14,instituciones_distintas,INT64,YES
dataset_maestro_modelado,15,dependencias_distintas,INT64,YES
dataset_maestro_modelado,16,descripcion_longitud_media,FLOAT64,YES
dataset_maestro_modelado,17,reportes_completados,INT64,YES
dataset_maestro_modelado,18,reportes_lag_1w,INT64,YES
dataset_maestro_modelado,19,reportes_lag_2w,INT64,YES
dataset_maestro_modelado,20,reportes_lag_4w,INT64,YES
dataset_maestro_modelado,21,reportes_media_4w_previa,FLOAT64,YES
dataset_maestro_modelado,22,reportes_std_4w_previa,FLOAT64,YES
dataset_maestro_modelado,23,reportes_siguiente_semana,INT64,YES
dataset_maestro_modelado,24,variacion_pct_1w,FLOAT64,YES
dataset_maestro_modelado,25,variacion_pct_vs_media_4w,FLOAT64,YES
dataset_maestro_modelado,26,incremento_actividad_siguiente_periodo,INT64,YES
dim_branch,1,branch_id,INT64,YES
dim_branch,2,branch_name,STRING,YES
dim_branch,3,company_id,INT64,YES
dim_branch,4,company_name,STRING,YES
dim_branch,5,branch_latitude,FLOAT64,YES
dim_branch,6,branch_longitude,FLOAT64,YES
dim_branch,7,branch_priority,INT64,YES
dim_branch,8,show_in_graph,BOOL,YES
dim_company,1,company_id,INT64,YES
dim_company,2,company_name,STRING,YES
dim_company,3,company_code,STRING,YES
dim_company,4,company_priority,INT64,YES
dim_company,5,country_id,INT64,YES
dim_company_department,1,company_department_id,INT64,YES
dim_company_department,2,company_department_name,STRING,YES
dim_company_department,3,company_id,INT64,YES
dim_company_department,4,company_name,STRING,YES
dim_company_department,5,department_type,STRING,YES
dim_municipio,1,municipio_id,INT64,YES
dim_municipio,2,municipio_name,STRING,YES
dim_municipio,3,provincia_id,INT64,YES
dim_municipio,4,provincia_name,STRING,YES
dim_municipio,5,region_id,INT64,YES
dim_municipio,6,region_name,STRING,YES
dim_provincia,1,provincia_id,INT64,YES
dim_provincia,2,provincia_name,STRING,YES
dim_provincia,3,region_id,INT64,YES
dim_provincia,4,region_name,STRING,YES
dim_region,1,region_id,INT64,YES
dim_region,2,region_name,STRING,YES
dim_report_group,1,report_group_id,INT64,YES
dim_report_group,2,report_group_name,STRING,YES
dim_report_group,3,report_group_type,STRING,YES
dim_report_group,4,company_id,INT64,YES
dim_report_group,5,company_name,STRING,YES
dim_report_group,6,report_group_priority,INT64,YES
dim_report_group,7,active,BOOL,YES
dim_report_type,1,report_type_id,INT64,YES
dim_report_type,2,report_type_name,STRING,YES
dim_report_type,3,report_type_category,STRING,YES
dim_report_type,4,company_id,INT64,YES
dim_report_type,5,branch_id,INT64,YES
dim_report_type,6,report_type_priority,INT64,YES
dim_report_type,7,active,BOOL,YES
dim_report_type,8,require_validation,BOOL,YES
dim_report_type,9,ext_table_name,STRING,YES
fact_reportes_limpios,1,report_id,INT64,YES
fact_reportes_limpios,2,report_code,STRING,YES
fact_reportes_limpios,3,report_date,DATE,YES
fact_reportes_limpios,4,report_created_at,TIMESTAMP,YES
fact_reportes_limpios,5,report_updated_at,TIMESTAMP,YES
fact_reportes_limpios,6,report_time,TIME,YES
fact_reportes_limpios,7,report_year,INT64,YES
fact_reportes_limpios,8,report_month,INT64,YES
fact_reportes_limpios,9,report_iso_week,INT64,YES
