report_year,report_month,reportes
2021,8,3
2021,9,4
2021,12,2
2022,1,1
2022,2,68
2022,3,147
2022,4,113
2022,5,210
2022,6,1464
2022,7,1494
2022,8,3094
2022,9,3012
2022,10,3940
2022,11,4227
2022,12,4536
2023,1,4745
2023,2,4807
2023,3,6493
2023,4,5769
2023,5,5712
2023,6,5523
2023,7,5531
2023,8,5043
2023,9,5008
2023,10,5416
2023,11,5010
2023,12,4676
2024,1,4603
2024,2,4395
2024,3,5863
2024,4,5953
2024,5,5577
2024,6,5668
2024,7,5584
2024,8,5409
2024,9,5496
2024,10,5569
2024,11,4449
2024,12,2131
2025,6,1967
2025,7,3053
2025,8,3032
2025,9,2481
2025,10,2712
2025,11,2937
2025,12,2699
2026,1,2677
2026,2,2530
2026,3,1970
2026,4,1320
2026,5,1169
