report_week_start,reportes
2021-08-09,1
2021-08-16,1
2021-08-23,1
2021-08-30,1
2021-09-06,1
2021-09-13,1
2021-09-20,1
2021-12-20,1
2021-12-27,1
2022-01-10,1
2022-02-14,1
2022-03-14,25
2022-03-21,5
2022-04-11,25
2022-07-04,43
2022-07-11,224
2022-07-18,251
2022-07-25,625
2022-08-01,682
2022-08-08,657
2022-08-15,689
2022-08-22,599
2022-08-29,497
2022-09-05,536
2022-09-12,547
2022-09-19,405
2022-09-26,461
2022-10-03,668
2022-10-10,666
2022-10-17,641
2022-10-24,702
2022-10-31,693
2022-11-07,596
2022-11-14,663
2022-11-21,726
2022-11-28,771
2022-12-05,737
2022-12-12,685
2022-12-19,596
2022-12-26,588
2023-01-02,560
2023-01-09,541
2023-01-16,629
2023-01-23,619
2023-01-30,602
2023-02-06,629
2023-02-13,671
2023-02-20,717
2023-02-27,775
2023-03-06,856
2023-03-13,822
2023-03-20,797
2023-03-27,835
2023-04-03,722
2023-04-10,713
2023-04-17,678
2023-04-24,734
2023-05-01,680
2023-05-08,699
2023-05-15,616
2023-05-22,659
2023-05-29,749
2023-06-05,776
2023-06-12,656
2023-06-19,645
2023-06-26,616
2023-07-03,646
2023-07-10,660
2023-07-17,663
2023-07-24,587
2023-07-31,641
2023-08-07,618
2023-08-14,649
2023-08-21,501
2023-08-28,619
2023-09-04,648
2023-09-11,596
2023-09-18,566
2023-09-25,578
2023-10-02,555
2023-10-09,549
2023-10-16,582
2023-10-23,539
2023-10-30,549
2023-11-06,522
2023-11-13,515
2023-11-20,557
2023-11-27,535
2023-12-04,491
2023-12-11,585
2023-12-18,484
2023-12-25,481
2024-01-01,477
2024-01-08,489
2024-01-15,542
2024-01-22,533
2024-01-29,514
2024-02-05,573
2024-02-12,436
2024-02-19,522
