report_type_name,reportes
REPORTE OPERACIONAL,17442
CONTROL DE BUQUES DE CARGA (CESEP),16731
OPERATIVO DE PATRULLA (CECCOM),16198
OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),14261
REPORTE FRONTERIZO,9664
OPERACIONES AÉREAS (FARD),8302
VIP (CESAC),6965
INFORMACIONES GENERALES (CESAC),5611
CONTROL DE SERVICIOS A BUQUES (CESEP),4932
SEGURIDAD CIUDADANA (COMIPOL),4537
VUELOS (CESAC),4041
OPERACIONES TERRESTRES (ARD),3968
MIGRACIÓN IRREGULAR Y TRÁFICO DE PERSONAS (CESFRONT),3220
CONTROL DE BUQUES CRUCEROS (CESEP),3158
RECURSOS FORESTALES (SENPA),2823
