provincia_name,report_type_category,reportes
Santo Domingo,incidente,21412
Santiago,incidente,8929
Monseñor Nouel,incidente,4851
La Altagracia,incidente,4135
Peravia,incidente,4020
Puerto Plata,incidente,3741
Barahona,incidente,3397
San Pedro de Macorís,incidente,3391
La Romana,incidente,3219
Distrito Nacional,incidente,2956
Duarte,incidente,2949
Monte Plata,incidente,2806
Dajabón,incidente,2757
San Cristóbal,incidente,2574
Espaillat,incidente,2536
Elías Piña,incidente,2125
María Trinidad Sánchez,incidente,2052
Pedernales,incidente,1727
Monte Crísti,incidente,1650
Independencia,incidente,1508
Samaná,incidente,748
Azua,incidente,721
San Juan,incidente,560
La Vega,incidente,555
Bahoruco,incidente,408
Valverde,incidente,367
Hato Mayor,incidente,357
El Seibo,incidente,354
Santo Domingo,sin_categoria,343
Sanchez Ramírez,incidente,268
San José de Ocoa,incidente,230
Santiago Rodríguez,incidente,162
Hermanas Mirabal,incidente,122
Puerto Plata,sin_categoria,86
San Pedro de Macorís,sin_categoria,63
Distrito Nacional,sin_categoria,55
San Cristóbal,sin_categoria,43
Barahona,sin_categoria,27
Samaná,sin_categoria,22
La Romana,sin_categoria,11
Peravia,sin_categoria,8
Monte Crísti,sin_categoria,8
Duarte,sin_categoria,6
Azua,sin_categoria,6
Monte Plata,sin_categoria,5
Pedernales,sin_categoria,5
Santiago,sin_categoria,3
Santiago Rodríguez,sin_categoria,2
Valverde,sin_categoria,1
Espaillat,sin_categoria,1
La Vega,sin_categoria,1
San Juan,sin_categoria,1
La Altagracia,sin_categoria,1
Elías Piña,sin_categoria,1
