report_week_start,provincia_id,provincia_name,report_type_id,report_type_name,filas,reportes_semana_total
2022-12-26,2,Azua,399,RECURSOS FORESTALES (SENPA),2,3
2022-12-26,4,Barahona,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,13
2022-12-26,5,Dajabón,360,CONTRABANDO DE MERCANCÍAS (CESFRONT),2,11
2022-12-26,5,Dajabón,361,MIGRACIÓN IRREGULAR Y TRÁFICO DE PERSONAS (CESFRONT),2,6
2022-12-26,5,Dajabón,387,OPERATIVO DE PATRULLA (CECCOM),2,14
2022-12-26,6,Duarte,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,15
2022-12-26,8,El Seibo,399,RECURSOS FORESTALES (SENPA),2,6
2022-12-26,7,Elías Piña,360,CONTRABANDO DE MERCANCÍAS (CESFRONT),2,5
2022-12-26,7,Elías Piña,387,OPERATIVO DE PATRULLA (CECCOM),2,14
2022-12-26,9,Espaillat,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,11
2022-12-26,30,Hato Mayor,399,RECURSOS FORESTALES (SENPA),2,5
2022-12-26,10,Independencia,387,OPERATIVO DE PATRULLA (CECCOM),2,16
2022-12-26,11,La Altagracia,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,15
2022-12-26,12,La Romana,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,12
2022-12-26,13,La Vega,401,SUELOS Y AGUAS (SENPA),2,2
2022-12-26,14,María Trinidad Sánchez,387,OPERATIVO DE PATRULLA (CECCOM),2,10
2022-12-26,28,Monseñor Nouel,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,12
2022-12-26,28,Monseñor Nouel,387,OPERATIVO DE PATRULLA (CECCOM),2,12
2022-12-26,15,Monte Crísti,399,RECURSOS FORESTALES (SENPA),2,5
2022-12-26,29,Monte Plata,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,12
2022-12-26,16,Pedernales,361,MIGRACIÓN IRREGULAR Y TRÁFICO DE PERSONAS (CESFRONT),2,5
2022-12-26,16,Pedernales,387,OPERATIVO DE PATRULLA (CECCOM),2,13
2022-12-26,17,Peravia,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,14
2022-12-26,17,Peravia,387,OPERATIVO DE PATRULLA (CECCOM),2,12
2022-12-26,18,Puerto Plata,382,OPERACIONES MARÍTIMAS (ARD),2,2
2022-12-26,18,Puerto Plata,387,OPERATIVO DE PATRULLA (CECCOM),2,13
2022-12-26,21,San Cristóbal,387,OPERATIVO DE PATRULLA (CECCOM),2,15
2022-12-26,21,San Cristóbal,401,SUELOS Y AGUAS (SENPA),2,11
2022-12-26,23,San Pedro de Macorís,387,OPERATIVO DE PATRULLA (CECCOM),2,17
2022-12-26,25,Santiago,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,14
2022-12-26,25,Santiago,387,OPERATIVO DE PATRULLA (CECCOM),2,19
2022-12-26,25,Santiago,355,SEGURIDAD CIUDADANA (COMIPOL),2,5
2022-12-26,32,Santo Domingo,440,INFORMACIONES GENERALES (CESAC),2,3
2022-12-26,32,Santo Domingo,341,OPERACIONES AÉREAS (FARD),2,4
2022-12-26,32,Santo Domingo,342,OPERACIONES TERRESTRES DESPLIEGUE PERSONAL (FARD),2,7
2022-12-26,32,Santo Domingo,7,OPERATIVO DE ORDEN PÚBLICO (CIUTRAN),2,20
2022-12-26,32,Santo Domingo,387,OPERATIVO DE PATRULLA (CECCOM),2,9
2022-12-26,32,Santo Domingo,381,SUSTANCIAS CONTROLADAS (CESAC),2,2
2022-12-26,32,Santo Domingo,368,VUELOS (CESAC),2,9
2025-12-29,4,Barahona,341,OPERACIONES AÉREAS (FARD),2,5
2025-12-29,4,Barahona,468,REPORTE OPERACIONAL,2,7
2025-12-29,5,Dajabón,341,OPERACIONES AÉREAS (FARD),2,2
2025-12-29,6,Duarte,468,REPORTE OPERACIONAL,2,3
2025-12-29,9,Espaillat,468,REPORTE OPERACIONAL,2,10
2025-12-29,11,La Altagracia,468,REPORTE OPERACIONAL,2,7
2025-12-29,12,La Romana,468,REPORTE OPERACIONAL,2,7
2025-12-29,28,Monseñor Nouel,468,REPORTE OPERACIONAL,2,6
2025-12-29,29,Monte Plata,468,REPORTE OPERACIONAL,2,9
2025-12-29,16,Pedernales,341,OPERACIONES AÉREAS (FARD),2,2
2025-12-29,17,Peravia,344,OPERACIONES TERRESTRES (ARD),2,3
2025-12-29,17,Peravia,468,REPORTE OPERACIONAL,2,9
2025-12-29,18,Puerto Plata,344,OPERACIONES TERRESTRES (ARD),2,2
2025-12-29,25,Santiago,468,REPORTE OPERACIONAL,2,11
2025-12-29,32,Santo Domingo,380,ARMAS O MUNICIONES (CESAC),2,9
2025-12-29,32,Santo Domingo,405,ASISTENCIA MÉDICA (CESMET),2,8
2025-12-29,32,Santo Domingo,344,OPERACIONES TERRESTRES (ARD),2,3
2025-12-29,32,Santo Domingo,342,OPERACIONES TERRESTRES DESPLIEGUE PERSONAL (FARD),2,5
2025-12-29,32,Santo Domingo,449,OTROS (CESMET),2,2
2025-12-29,32,Santo Domingo,461,REPORTE OPERACIONAL,2,5
